Period_Start,Period_End,Sales Office,Email,ALDI Representative,Vendor #,Vendor Name,Generic Article,Article Description,Sold Units ,Sold Cases ,Store Stock Cases ,Warehouse Stock Cases ,Region Stock Cases 
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,610129,Annabel Karmel Toddler Meals 200g,2703,189,557,,557
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,624892,Beef Rendang 350g/Chicken Massaman 350g,817,65,20,,20
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366731,Beef Strog/Lamb Hot Pot,1739,142,49,,49
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,369349,BfRagu/SngpreNoodls375g,4034,331,814,,814
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370729,BigFeedChkKiev/BangrsMsh,1495,121,243,,243
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,486774,Chkn Parm/Bacon Bake,1159,93,159,,159
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,570851,ChknGreenCurry 280g/ChilliConCarne 330g,1966,161,539,,539
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365845,ChkRisotto/SundriedTom,2353,164,127,,127
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370927,Fit Meals 330g,2928,240,611,,611
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,476819,Fit Meals Beef 330g/360g,2545,209,1033,,1033
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365787,Froz Lasagne 2kg,1841,304,586,,586
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,371392,Frz Snack Pies 4pk,3701,304,665,,665
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366849,FrzChickenParm/LambSh,2830,198,237,,237
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,368740,FrzChknKiev/BeefRissole,1967,138,81,,81
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,364754,Fzn Lasagne 400g,10062,834,1386,,1386
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Shane Aitken,1124050,Patties Foods Ltd,531367,Lasagne 1.2kg,3838,637,194,83.0,277
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,366728,Meat Pies 6pk 900g,4136,513,1026,,1026
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365199,Party Combo 30Pk 1.25kg,2769,458,1008,,1008
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365172,Party Pies 24pk,3601,295,609,,609
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,367293,PiesPremium2pk400-420g,3870,319,776,,776
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365211,Sausage Rolls 900g 24pk,2684,445,1009,,1009
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365287,ShephrdPie/TunaMornay400g,2158,177,650,,650
12/05/2025,18/05/2025,Minchinbury,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370541,SpagBol/Mac&Chs 375g,6675,554,989,,989
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,610129,Annabel Karmel Toddler Meals 200g,2277,159,822,,822
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,624892,Beef Rendang 350g/Chicken Massaman 350g,2332,190,611,,611
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366731,Beef Strog/Lamb Hot Pot,1794,146,113,,113
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,369349,BfRagu/SngpreNoodls375g,3774,311,1557,,1557
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370729,BigFeedChkKiev/BangrsMsh,1570,128,245,,245
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,486774,Chkn Parm/Bacon Bake,1078,86,194,,194
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,570851,ChknGreenCurry 280g/ChilliConCarne 330g,1542,124,548,,548
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365845,ChkRisotto/SundriedTom,2167,150,415,,415
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370927,Fit Meals 330g,2044,166,588,,588
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,476819,Fit Meals Beef 330g/360g,1619,132,494,,494
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365787,Froz Lasagne 2kg,1205,198,685,,685
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,371392,Frz Snack Pies 4pk,4256,352,1013,,1013
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366849,FrzChickenParm/LambSh,2898,203,362,,362
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,368740,FrzChknKiev/BeefRissole,1637,115,154,,154
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,364754,Fzn Lasagne 400g,8113,672,1665,,1665
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Shane Aitken,1124050,Patties Foods Ltd,531367,Lasagne 1.2kg,3848,638,157,381.0,538
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,366728,Meat Pies 6pk 900g,4498,560,1289,,1289
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365199,Party Combo 30Pk 1.25kg,2848,472,1161,,1161
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365172,Party Pies 24pk,6272,520,1035,,1035
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,367293,PiesPremium2pk400-420g,3405,281,1042,,1042
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365211,Sausage Rolls 900g 24pk,2703,449,1396,,1396
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365287,ShephrdPie/TunaMornay400g,1546,126,533,,533
12/05/2025,18/05/2025,Derrimut,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370541,SpagBol/Mac&Chs 375g,5136,426,1261,,1261
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,610129,Annabel Karmel Toddler Meals 200g,2504,175,332,45.0,377
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,624892,Beef Rendang 350g/Chicken Massaman 350g,1817,148,238,103.0,341
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366731,Beef Strog/Lamb Hot Pot,1644,135,33,,33
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,369349,BfRagu/SngpreNoodls375g,3138,259,204,271.0,475
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370729,BigFeedChkKiev/BangrsMsh,1350,109,69,,69
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,486774,Chkn Parm/Bacon Bake,1117,90,122,54.0,176
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,570851,ChknGreenCurry 280g/ChilliConCarne 330g,1642,133,144,160.0,304
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365845,ChkRisotto/SundriedTom,2000,141,157,11.0,168
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370927,Fit Meals 330g,2592,213,268,127.0,395
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,476819,Fit Meals Beef 330g/360g,2415,198,204,105.0,309
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365787,Froz Lasagne 2kg,1260,208,188,259.0,447
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,371392,Frz Snack Pies 4pk,3049,250,176,156.0,332
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366849,FrzChickenParm/LambSh,2657,186,169,130.0,299
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,368740,FrzChknKiev/BeefRissole,1932,134,69,,69
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,364754,Fzn Lasagne 400g,8164,678,337,598.0,935
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Shane Aitken,1124050,Patties Foods Ltd,531367,Lasagne 1.2kg,3535,587,140,95.0,235
12/05/2025,18/05/2025,Stapylton,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,366728,Meat Pies 6pk 900g,3810,475,299,395.0,694
